bldgname,alias,image_url
OSB,,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Suliman-L.jpg
AGRIC,Agriculture,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Agriculture-L.jpg
NICELY,,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Nicely-L.jpg
ADAD,Ada Dodge,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/AdaDodgeHall.jpg
COLL,College,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/CollegeHall-L.jpg
REYNOL,Reynolds,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Reynolds-L.jpg
FS1,Satellite,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Satellite1-L.jpg
BECHTA,Bechtel,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/BechtelEngineering.jpg
SRB,CCC-L,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/CCC-L.jpg
POST,Post,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/PostHall-L.jpg
FISK,,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Fisk-L.jpg
IOEC,Oxy,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Irani-L.jpg
PHYS,Physics Emile,https://www.aub.edu.lb/facilities/fpdu/Buildings/EmileBustani.jpg
BIOL,Biology,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/BiologyBuilding.jpg
CHSC,Hostler,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Hostler-L.jpg
CHEM,Elmer,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Elmer-L.jpg
BLISS,Daniel,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Daniel-L.jpg
WEST,,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/WestHall-L.jpg
RGB,Raymond,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Raymond-L.jpg
ISSAM,Fares,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Fares-L.jpg
VANDYK,Van,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/VanDyck-L.jpg
JESUP,,https://www.aub.edu.lb/facilities/fpdu/PublishingImages/Buildings/Jesup.jpg
