department,degree_level,link
Economics,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/economics.pdf
Education,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/education.pdf
Media Studies,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/sams.pdf
Political Studies and Public Administration,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/pspa.pdf
Psychology,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/psychology.pdf
Arabic and Near Eastern Languages,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/arabic.pdf
English Language and Literature,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/english.pdf
History and Archaeology,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/history-archaeology.pdf
Fine Arts and Art History,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/faah.pdf
Philosophy,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/philosophy.pdf
Applied Math,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/mathematics.pdf
Mathematics,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/mathematics.pdf
Statistics,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/mathematics.pdf
Biology,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/biology.pdf
Chemistry,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/chemistry.pdf
Physics,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/physics.pdf
Computer Science,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/computerscience.pdf
Geology,undergraduate,https://www.aub.edu.lb/registrar/Documents/catalogue/undergraduate19-20/geology.pdf
