Subject,Code,Description
ECON,101,"3.0; 3 cr.
An  introductory  survey  of  the  principles  of  microeconomics,  designed  primarily  for 
freshman students. Annually.
"
ECON,102,"3.0; 3 cr.
An  introductory  survey  of  the  principles  of  macroeconomics,  designed  primarily  for 
freshman students. Annually.
"
ECON,203,"Elementary  principles  of  microeconomics  and  macroeconomics  and  applications.
Students majoring in economics cannot receive credit for ECON 203. Students who take 
ECON 203 may not receive credit for either ECON 211 or ECON 212. Every term. 
"
ECON,211,"3.0; 3 cr.
General  principles  of  microeconomics;  includes  elements  of  supply  and  demand, 
consumer behavior, costs, market structures, and income distribution. Students cannot 
receive credit for both ECON 211 and AGSC 212; however, the courses will not be treated 
as equivalent. Students cannot receive credit for ECON 211, AGSC 212 and HMPD 251.  
Every term.
"
ECON,212,"3.0; 3 cr.
General  principles  of  macroeconomics;  aggregate  supply  and  demand  framework 
is  used  to  analyze  overall  movements  in  prices  and  national  output,  inflation  and 
unemployment,  and  monetary  and  fiscal  policies.  Students  cannot  receive  credit  for 
both ECON 203 and ECON 212. Every term.
"
ECON,213,"3.0; 3 cr.
Display  of  data,  properties  of  probability,  methods  of  enumeration,  conditional 
probability  and 
independent  events;  univariate  and  bivariate  distributions 
corresponding  to  both  discrete  and  continuous  variables;  expectation,  variance, 
covariance and correlation, moment generating functions, independent random samples 
and the central limit theorem; basics of confidence intervals and hypothesis testing.  
Pre- or Corerequisite: MATH 201. Equivalent course: STAT 230. Students can get credit for 
only one of BUSS 200, ECON 213, EDUC 227, STAT 201, STAT 210, or STAT 230. Every term.
"
ECON,214,"3.0; 3 cr.
Classical  linear  regression  model  and  the  multiple  regression  model  in  matrix  form; 
the  criteria  for  estimators;  multicollinearity,  serial  correlation,  heteroskedasticity; 
identification  and  estimation  of  simultaneous  equation  models  and  applications. 
Prerequisites:  ECON  211  or  ECON  212,  ECON  213  or  STAT  230,  and  MATH  201.  
Every term.
"
ECON,215,"3.0; 3 cr.
A comprehensive treatment of econometric techniques applied in cross-sectional and 
time  series  models.  Topics  include  but  are  not  limited  to  the  estimation  of  bivariate 
and multiple regression models; validation tests; corrective methods employed when 
assumptions  are  violated;  regressions  with  a  qualitative  dependent  variable;  logit 
models; VAR; and cointegration. Prerequisite: ECON 214. Every term.
"
ECON,217,"3.0; 3 cr.
Theory  of  allocation  of  resources;  consumers’  choice  and  classical  demand  theory, 
exchange and welfare; theory of production and cost; price and output determination 
under  alternative  market  structures;  game  theory  and  applications  to  oligopoly. 
Prerequisites: ECON 211 and MATH 201. Every term.
"
ECON,218,"3.0; 3 cr.
Factor  markets  and  theories  of  income  distribution,  general  equilibrium  and  input-
output analysis, welfare economics. Prerequisite: ECON 217. Annually.
"
