Category,Question,Answer
P/NP Grading,What is AUBs spring 2020 alternate course grading option?,AUB will apply an alternate course grading option for the spring 2020 term.  This option has been adopted as an exceptional continuity measure to mitigate the effects of the disruptions resulting from the COVID-19 pandemic and will allow you to choose whether your final course grades for the spring 2020 term are entered as letter/numeric grades or as Pass (P)/ No Pass (NP) in your student record.
P/NP Grading,What does a grade of P mean in the alternate course grading option?,"A grade of P indicates satisfactory performance under circumstance of significant academic disruption. It means that you have successfully completed the course and can count the corresponding course credits as earned. A grade of P also means that you have satisfied minimum grade requirements, as well as requirements to use the course as a prerequisite."
P/NP Grading,What does a grade of NP mean in the alternate course grading option?,A grade of NP indicates a less than satisfactory performance under circumstance of significant academic disruption.  You will not earn credits for a course in which your final grade is NP
P/NP Grading,Can graduate students opt into the alternate course grading option in spring 2020?,Yes. Graduate students can opt into P/NP grading in spring 2020.
P/NP Grading,What is the minimum grade to get a P?,"If you are an undergraduate student, the minimum grade to get a P is 60 or D. If you are a graduate student, the minimum grade to get a P is 70 or C+."
P/NP Grading,Will P or NP enter in the calculation of my GPA?,No. P and NP grades do not enter in the calculation of the GPA.
P/NP Grading,What is the difference between NP and W in the P/NP grading option?,"A W means that you withdrew from a course by the last day for withdrawal from courses, which for spring 2020 is the last day of classes, and before the final course grades have been given. NP indicates that you decided to opt for the alternate course grading option in spring 2020. Neither W nor NP enter in the calculation of your GPA."
P/NP Grading,Is the P/NP grading option mandatory?,"No. If you do not opt into the P/NP grading option by the specified deadline, the default/regular final course grading system, i.e., numeric or letter grading, will be applied."
P/NP Grading,How and when can I decide to opt into P/NP grading?,"After course grades are posted on a special page in AUBsis, you will be given several days to decide whether you want to opt into P/NP grading by completing an online form. The dates for you to fill the online form are currently set for May 22-27, 2020. Once the deadline has passed, there will be no opportunity to change or reverse this decision, even by petition."
P/NP Grading,Can I choose the courses for which the P/NP grading option will apply?,"Yes. You can choose the courses you want to change to P/NP grading, and the courses you want to keep on regular/default (numeric or letter) grading."
P/NP Grading,Is there a limit to the number of courses for which I can opt for P/NP grading in spring 2020?,"While there is no limit to the number of registered courses in spring 2020 for which you can opt for P/NP grading, if you plan to apply for transfer to MSFEA or OSB, then please check their additional requirements for transfer, which are detailed in a different FAQ on this webpage."
P/NP Grading,Can I petition to change a P to a regular numeric or letter grade?,"No. If you opt for the alternate grading option in spring 2020, there will be no opportunity to change a P grade to a regular numeric or letter grade, even by petition."
P/NP Grading,Will I still need to achieve the minimum required average GPA in my minor courses?,"Yes. The average GPA of your minor courses that are graded, i.e., those for which you do not opt for P/NP grading, will need to meet the minimum requirements for the awarding of the minor. Please check the requirements of your minor(s) for the cutoff scores."
P/NP Grading,Can I count courses for which I opt for P/NP grading toward a minor?,Yes. The regulation that minor courses may not be taken on a pass/fail basis at AUB has been waived for spring 2020.
P/NP Grading,I am expecting to graduate with distinction or high distinction by the end of spring 2020. How will opting for P/NP grading affect my chances of achieving this goal?,"The academic regulation on distinction and high distinction is being maintained. You will need to achieve the required minimum GPA to qualify for this honor in your final 60 program credits (with repeated courses included). Nevertheless, any course for which you opt to take a P or NP grade will not be counted in the calculation of the GPA, even as it is counted as part of the total 60 program credits. Because you will see your final grades prior to choosing whether to opt for the P/NP option, you will be able to do the calculation yourself and determine which path is more advantageous for you. Please note that for double degrees, the required minimum GPA threshold must be met for each program separately."
P/NP Grading,I was hoping to make the Deans Honor List in spring 2020. Will the P/NP grading option impact my chances?,The Dean's Honor Lists will be suspended in spring 2020. The extraordinary circumstances and the level of choice being offered to students make it impossible to identify all those who would merit this honor.
P/NP Grading,"I am currently repeating a course and am hoping for a better grade. If I opt for P/NP grading for my repeated course, how will it affect my GPA?","If youre repeating a course for which you have earned a failing (numeric or letter) grade, opting for P/NP grading for that course and earning a P means that you will earn the credits associated with that course. Neither P nor the failing grade will count in the calculation of your cumulative GPA. If, on the other hand, you opt for numeric or letter grades, the higher of the two grades will count in the calculation of your cumulative GPA."
P/NP Grading,I am on probation this term and was hoping to be in good standing for fall 2020. Can I opt for P/NP grading for any of my classes and be removed from probation for the fall?,"Yes. If you're an undergraduate student who's currently on probation, your probation can be removed if you attain the required term average using at least 12 credits (of the total number of credits you have registered for in spring 2020) for which you opt to earn numeric or letter grades. Courses with a P or NP final grade will not count in the calculation of the term GPA.

In no case will being on probation in spring 2020 count toward dismissal, i.e., when an undergraduate student has been on academic probation four (4) times or has failed to clear probation after two (2) terms.

If you're a graduate student, follow the university and faculty/school guidelines as listed in the graduate catalog for the removal of probation. Courses with a P or NP final grade will not be counted in the calculation of the term GPA. In no case will being on probation in spring 2020 count toward dismissal."
P/NP Grading,Can I be put on probation based on my performance in spring 2020?,"No. AUB has decided to suspend determination of academic standing vis--vis probation based on your performance during this term. If you were in good standing this term, you will be in good standing in the fall 2020 term. If your performance leaves you uneasy, please ensure you speak with your advisor about your concerns and your schedule for the fall."
P/NP Grading,I am a masters student who is benefiting from the Graduate Fellowship and Assistantship Program (GFAP) during spring 2020; will opting for the P/NP grading option for any of my courses impact my GA percentage allocation for next term?,"No. The GA percentage allocation for continuing master's students will not be reduced for next term (summer 2020 or fall 2020) if they opt for P/NP grading in spring 2020. However, the GA percentage allocation may be reduced for other reasons, such as existing guidelines at the level of the program/department or lack of funding.  "
P/NP Grading,"If I choose numeric or letter grades for courses during spring 2020, will these be considered as part of the average GPA for my application to masters or PhD studies at AUB?",Yes. Courses with numeric or letter grade during spring 2020 will be taken into account in the evaluation of applications submitted to graduate programs for fall 2020.
P/NP Grading,"I am studying abroad in spring 2020. My host university is offering an alternative grading option (e.g., P/NP or P/F, etc.). Will I be able to receive credit for my courses, if I opt for the alternative grading option at my host university?","If you earn a P (or equivalent in the host institution alternative grading option) on a pre-approved course you are taking in spring 2020 as part of your study abroad program, you will be able to receive credit for it."
